Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
2024-04-06,19.3,10.1,14.666666666666666,77.70833333333333,65.125,0.0,6.9,230.625,3.0
2024-04-07,22.4,12.2,17.883333333333333,64.0,91.91666666666667,0.0,6.2,238.54166666666666,3.0
2024-04-08,20.7,15.1,18.079166666666666,74.16666666666667,84.5,2.6,9.1,170.45833333333334,3.0
2024-04-09,13.8,8.3,11.545833333333334,90.66666666666667,98.16666666666667,21.6,9.7,198.0,51.0
2024-04-10,14.1,6.8,10.316666666666666,66.20833333333333,84.20833333333333,6.4,12.0,230.5,3.0
2024-04-11,20.9,9.7,15.104166666666666,72.54166666666667,30.291666666666668,3.3,7.7,236.83333333333334,0.0
2024-04-12,22.6,11.6,18.341666666666665,55.958333333333336,11.416666666666666,0.0,6.9,233.95833333333334,0.0
2024-04-13,23.8,13.4,19.654166666666665,62.458333333333336,40.25,0.0,6.6,229.875,1.0
2024-04-14,24.7,16.8,21.2375,61.5,46.041666666666664,0.0,6.4,240.58333333333334,1.0
2024-04-15,21.9,13.1,17.916666666666668,65.91666666666667,63.25,1.5,7.2,240.58333333333334,3.0
2024-04-16,14.5,6.9,11.804166666666667,48.291666666666664,25.833333333333332,0.0,15.9,255.125,1.0
2024-04-17,12.9,6.1,8.954166666666667,42.375,23.791666666666668,0.0,11.2,287.875,0.0
2024-04-18,10.6,3.4,7.245833333333334,42.5,59.416666666666664,6.0,13.0,199.125,3.0
