date,tmedia,tmax,tmin,tclasse,ptot,pclasse,vmedia,vraffica,settore_prevalente,tempo_permanenza,durata_calma,vclasse,umedia,umin,umax,uclasse,rtot,rclasse,hdd_base18,hdd_base20,cdd_base18
1990-12-28,-0.3,5.1,-5.3,M000,0.0,MZ,,,,,,M00000,54.0,27.0,83.0,M000,,,18.1,20.1,0.0
1990-12-29,-3.4,2.6,-8.4,M000,0.0,MZ,,,,,,M00000,76.0,54.0,94.0,M000,,,20.9,22.9,0.0
1990-12-30,-5.8,3.3,-9.8,M000,0.0,MZ,,,,,,M00000,88.0,55.0,94.0,M000,,,21.3,23.3,0.0
1990-12-31,-1.7,4.6,-9.2,M000,0.2,MZ,,,,,,M00000,91.0,69.0,96.0,M000,,,20.3,22.3,0.0
1991-01-01,3.8,8.4,-1.7,M000,0.0,MZ,,,,,,M00000,41.0,11.0,97.0,M000,,,14.7,16.7,0.0
1991-01-02,0.6,4.5,-5.5,M000,0.0,MZ,,,,,,M00000,47.0,28.0,69.0,M000,,,18.5,20.5,0.0
1991-01-03,0.3,9.9,-6.2,M000,0.0,MZ,,,,,,M00000,69.0,42.0,95.0,M000,,,16.2,18.2,0.0
1991-01-04,1.3,5.8,-1.9,M000,0.0,MZ,,,,,,M00000,80.0,34.0,95.0,M000,,,16.1,18.1,0.0
1991-01-05,3.2,7.3,-1.4,M000,0.0,MZ,,,,,,M00000,33.0,19.0,62.0,M000,,,15.1,17.1,0.0
1991-01-06,6.2,10.0,-0.5,M000,0.6,MZ,,,,,,M00000,46.0,25.0,79.0,M000,,,13.3,15.3,0.0
1991-01-07,0.1,5.2,-2.0,M000,5.6,MZ,,,,,,M00000,92.0,67.0,97.0,M000,,,16.4,18.4,0.0
1991-01-08,,,,M000,0.0,MZ,,,,,,M00000,73.0,21.0,97.0,M000,,,,,
1991-01-09,-1.2,3.8,-4.4,M000,0.0,MZ,,,,,,M00000,79.0,52.0,95.0,M000,,,18.3,20.3,0.0
1991-01-10,-2.3,4.6,-6.0,M000,0.0,MZ,,,,,,M00000,88.0,62.0,95.0,M000,,,18.7,20.7,0.0
1991-01-11,-2.2,5.7,-5.5,M000,0.0,MZ,,,,,,M00000,92.0,66.0,96.0,M000,,,17.9,19.9,0.0
1991-01-12,-0.8,4.3,-5.2,M000,0.0,MZ,,,,,,M00000,93.0,73.0,97.0,M000,,,18.5,20.5,0.0
1991-01-13,0.4,3.7,-1.1,M000,5.6,MZ,,,,,,M00000,92.0,72.0,97.0,M000,,,16.7,18.7,0.0
1991-01-14,-0.9,-0.2,-1.8,M000,,M0,,,,,,M00000,97.0,96.0,97.0,M000,,,19.0,21.0,0.0
1991-01-15,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-16,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-17,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-18,-7.3,0.4,-10.9,M000,,M0,,,,,,M00000,83.0,72.0,91.0,M000,,,23.3,25.3,0.0
1991-01-19,-1.6,3.9,-7.8,M000,,M0,,,,,,M00000,73.0,32.0,92.0,M000,,,20.0,22.0,0.0
1991-01-20,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-21,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-22,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-23,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-24,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-25,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-26,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-27,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-28,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-29,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-30,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-01-31,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-01,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-02,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-03,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-04,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-05,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-06,-11.1,,-19.6,M000,,M0,,,,,,M00000,85.0,73.0,,M000,,,,,
1991-02-07,-13.5,-10.0,-21.2,M000,,M0,,,,,,M00000,84.0,69.0,88.0,M000,,,33.6,35.6,0.0
1991-02-08,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-09,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-10,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-11,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-12,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-13,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-14,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-15,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-16,5.9,,,M000,,M0,,,,,,M00000,57.0,,,M000,,,,,
1991-02-17,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
